algo,pivot,neighborhood,sol_start,ils_perturb_rate,ils_n_try,ils_worst,instance,best_known_cost,cost,elapsed_seconds,solution
ils,first,['exchange'],c_and_w,0.2,10,0,N-be75eec_150,3482828,3391020,0.274675,
ils,first,['exchange'],c_and_w,0.2,10,0,N-be75eec_150,3482828,3408332,0.711271,
ils,first,['exchange'],c_and_w,0.2,10,0,N-be75eec_150,3482828,3411548,0.936713,
ils,first,['exchange'],c_and_w,0.2,10,0,N-be75eec_150,3482828,3415392,1.162459,
ils,first,['exchange'],c_and_w,0.2,10,0,N-be75eec_150,3482828,3421041,2.462489,
ils,first,['exchange'],c_and_w,0.2,10,0,N-be75eec_150,3482828,3423362,2.892971,
ils,first,['exchange'],c_and_w,0.2,10,0,N-be75eec_150,3482828,3428323,3.834341,
ils,first,['exchange'],c_and_w,0.2,10,0,N-be75eec_150,3482828,3428857,6.078043,
ils,first,['exchange'],c_and_w,0.2,10,0,N-be75eec_150,3482828,3428857,8.247177,
ils,first,['exchange'],c_and_w,0.2,10,10,N-be75eec_150,3482828,3391020,0.264072,
ils,first,['exchange'],c_and_w,0.2,10,10,N-be75eec_150,3482828,3408332,0.695521,
ils,first,['exchange'],c_and_w,0.2,10,10,N-be75eec_150,3482828,3411548,0.929104,
ils,first,['exchange'],c_and_w,0.2,10,10,N-be75eec_150,3482828,3415392,1.153035,
ils,first,['exchange'],c_and_w,0.2,10,10,N-be75eec_150,3482828,3421041,2.478477,
ils,first,['exchange'],c_and_w,0.2,10,10,N-be75eec_150,3482828,3423362,2.901996,
ils,first,['exchange'],c_and_w,0.2,10,10,N-be75eec_150,3482828,3428323,3.85374,
ils,first,['exchange'],c_and_w,0.2,10,10,N-be75eec_150,3482828,3428857,6.183539,
ils,first,['exchange'],c_and_w,0.2,10,10,N-be75eec_150,3482828,3428857,8.389902,
ils,first,['exchange'],c_and_w,0.2,100,0,N-be75eec_150,3482828,3391020,0.258603,
ils,first,['exchange'],c_and_w,0.2,100,0,N-be75eec_150,3482828,3408332,0.736839,
ils,first,['exchange'],c_and_w,0.2,100,0,N-be75eec_150,3482828,3411548,0.956405,
ils,first,['exchange'],c_and_w,0.2,100,0,N-be75eec_150,3482828,3415392,1.1758,
ils,first,['exchange'],c_and_w,0.2,100,0,N-be75eec_150,3482828,3421041,2.539358,
ils,first,['exchange'],c_and_w,0.2,100,0,N-be75eec_150,3482828,3423362,2.964748,
