algo,pivot,neighborhood,sol_start,ils_perturb_rate,ils_n_try,ils_worst,instance,best_known_cost,cost,elapsed_seconds,solution
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3406291,0.255243,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3408428,2.203868,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3409199,2.399409,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3413398,2.640287,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3419250,2.893302,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3423288,3.406391,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3429641,3.917278,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3432934,4.237775,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3433182,4.513791,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3438660,4.737283,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3440334,9.36753,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3447470,13.159747,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3449539,18.93009,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3449701,21.78063,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3449850,32.566765,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3449923,33.981655,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3453264,35.572723,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3456210,42.043644,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3457534,51.669456,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,3482828,3457534,78.664734,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,7174325,3406291,0.26376,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,7174325,3408428,2.256845,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,7174325,3409199,2.448129,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,7174325,3413398,2.685947,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,7174325,3419250,2.948,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,7174325,3423288,3.477107,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,7174325,3429641,3.99276,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,7174325,3432934,4.304021,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,7174325,3433182,4.569454,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,7174325,3438660,4.790957,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,7174325,3440334,9.339507,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,7174325,3447470,13.087709,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,7174325,3449539,18.767744,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,7174325,3449701,21.540508,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,7174325,3449850,32.134586,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,7174325,3449923,33.556046,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,7174325,3453264,35.126308,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,7174325,3456210,41.540668,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,7174325,3457534,51.15593,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,7174325,3457534,77.809608,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,2246534,3406291,0.265325,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,2246534,3408428,2.245637,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,2246534,3409199,2.434491,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,2246534,3413398,2.674878,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,2246534,3419250,2.927923,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,2246534,3423288,3.431627,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,2246534,3429641,3.929695,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,2246534,3432934,4.231227,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,2246534,3433182,4.486056,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,2246534,3438660,4.712424,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,2246534,3440334,9.288994,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,2246534,3447470,12.991489,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,2246534,3449539,18.688061,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,2246534,3449701,21.460596,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,2246534,3449850,31.931725,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,2246534,3449923,33.316456,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,2246534,3453264,34.915356,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,2246534,3456210,41.291679,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,2246534,3457534,50.750847,
ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,N-be75eec_150,2246534,3457534,76.985397,
