algo,pivot,neighborhood,sol_start,instance,best_known_cost,cost,elapsed_seconds,solution
vnd,first,['transpose'],random,N-be75eec_150,3482828,2169797,1.3e-05,
vnd,first,['transpose'],c_and_w,N-be75eec_150,3482828,2657351,1.1e-05,
vnd,first,['exchange'],random,N-be75eec_150,3482828,3396593,0.380417,
vnd,first,['exchange'],c_and_w,N-be75eec_150,3482828,3379429,0.288687,
vnd,first,['insert'],random,N-be75eec_150,3482828,3328604,0.146909,
vnd,first,['insert'],c_and_w,N-be75eec_150,3482828,3333196,0.138334,
vnd,best,['transpose'],random,N-be75eec_150,3482828,2182589,2.7e-05,
vnd,best,['transpose'],c_and_w,N-be75eec_150,3482828,2660170,2.9e-05,
vnd,best,['exchange'],random,N-be75eec_150,3482828,3373535,0.080143,
vnd,best,['exchange'],c_and_w,N-be75eec_150,3482828,3346308,0.062835,
vnd,best,['insert'],random,N-be75eec_150,3482828,3369650,0.125784,
vnd,best,['insert'],c_and_w,N-be75eec_150,3482828,3381254,0.132933,
vnd,first,['transpose'],random,N-be75eec_150,7174325,2169797,1.1e-05,
vnd,first,['transpose'],c_and_w,N-be75eec_150,7174325,2657351,1.1e-05,
vnd,first,['exchange'],random,N-be75eec_150,7174325,3396593,0.377813,
vnd,first,['exchange'],c_and_w,N-be75eec_150,7174325,3379429,0.285288,
vnd,first,['insert'],random,N-be75eec_150,7174325,3328604,0.131171,
vnd,first,['insert'],c_and_w,N-be75eec_150,7174325,3333196,0.136797,
vnd,best,['transpose'],random,N-be75eec_150,7174325,2182589,6.8e-05,
vnd,best,['transpose'],c_and_w,N-be75eec_150,7174325,2660170,2.9e-05,
vnd,best,['exchange'],random,N-be75eec_150,7174325,3373535,0.071253,
vnd,best,['exchange'],c_and_w,N-be75eec_150,7174325,3346308,0.06289,
vnd,best,['insert'],random,N-be75eec_150,7174325,3369650,0.12373,
vnd,best,['insert'],c_and_w,N-be75eec_150,7174325,3381254,0.132608,
vnd,first,['transpose'],random,N-be75eec_150,2246534,2169797,1e-05,
vnd,first,['transpose'],c_and_w,N-be75eec_150,2246534,2657351,3.2e-05,
vnd,first,['exchange'],random,N-be75eec_150,2246534,3396593,0.345612,
vnd,first,['exchange'],c_and_w,N-be75eec_150,2246534,3379429,0.302349,
vnd,first,['insert'],random,N-be75eec_150,2246534,3328604,0.130052,
vnd,first,['insert'],c_and_w,N-be75eec_150,2246534,3333196,0.13605,
vnd,best,['transpose'],random,N-be75eec_150,2246534,2182589,6.8e-05,
vnd,best,['transpose'],c_and_w,N-be75eec_150,2246534,2660170,2.8e-05,
vnd,best,['exchange'],random,N-be75eec_150,2246534,3373535,0.091885,
vnd,best,['exchange'],c_and_w,N-be75eec_150,2246534,3346308,0.065697,
vnd,best,['insert'],random,N-be75eec_150,2246534,3369650,0.124576,
vnd,best,['insert'],c_and_w,N-be75eec_150,2246534,3381254,0.130836,
vnd,first,['transpose'],random,N-be75eec_150,12287707,2169797,1e-05,
vnd,first,['transpose'],c_and_w,N-be75eec_150,12287707,2657351,1.3e-05,
vnd,first,['exchange'],random,N-be75eec_150,12287707,3396593,0.374421,
vnd,first,['exchange'],c_and_w,N-be75eec_150,12287707,3379429,0.280601,
vnd,first,['insert'],random,N-be75eec_150,12287707,3328604,0.133293,
vnd,first,['insert'],c_and_w,N-be75eec_150,12287707,3333196,0.131587,
vnd,best,['transpose'],random,N-be75eec_150,12287707,2182589,2.7e-05,
vnd,best,['transpose'],c_and_w,N-be75eec_150,12287707,2660170,7.2e-05,
vnd,best,['exchange'],random,N-be75eec_150,12287707,3373535,0.075382,
