algo,pivot,neighborhood,sol_start,instance,best_known_cost,cost,elapsed_seconds,solution
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,3482828,3402876,0.338508,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,3482828,3385021,0.174969,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,7174325,3402876,0.345685,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,7174325,3385021,0.157872,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,2246534,3402876,0.365823,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,2246534,3385021,0.181561,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,12287707,3402876,0.349738,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,12287707,3385021,0.17042,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,2875732,3402876,0.361882,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,2875732,3385021,0.181797,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,4327538,3402876,0.350202,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,4327538,3385021,0.181107,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,4510445,3402876,0.357257,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,4510445,3385021,0.185025,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,3239550,3402876,0.338304,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,3239550,3385021,0.166966,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,1462697,3402876,0.350018,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,1462697,3385021,0.179513,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,1543733,3402876,0.343874,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,1543733,3385021,0.194543,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,318960,3402876,0.369869,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,318960,3385021,0.162057,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,6453836,3402876,0.326374,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,6453836,3385021,0.167173,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,3559347,3402876,0.351147,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,3559347,3385021,0.156041,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,3159326,3402876,0.346466,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,3159326,3385021,0.208105,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,253396,3402876,0.371131,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,253396,3385021,0.173268,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,550733,3402876,0.357637,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,550733,3385021,0.188191,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,11855957,3402876,0.320423,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,11855957,3385021,0.17993,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,9647229,3402876,0.329428,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,9647229,3385021,0.153558,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,5825147,3402876,0.336731,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,5825147,3385021,0.177257,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,6174178,3402876,0.345493,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,6174178,3385021,0.184942,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,5150097,3402876,0.335705,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,5150097,3385021,0.181826,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,436862,3402876,0.365075,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,436862,3385021,0.172072,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,948913,3402876,0.363868,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,948913,3385021,0.179734,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,9396044,3402876,0.362118,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,9396044,3385021,0.176799,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,9642140,3402876,0.342538,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,9642140,3385021,0.177094,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,41570193,3402876,0.333684,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,41570193,3385021,0.183272,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,1541596,3402876,0.352847,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,1541596,3385021,0.181872,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,1743094,3402876,0.357591,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,1743094,3385021,0.182255,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,837945,3402876,0.338218,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,837945,3385021,0.172248,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,1155392,3402876,0.341661,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,1155392,3385021,0.172892,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,1626921,3402876,0.361267,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,1626921,3385021,0.193138,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,2107619,3402876,0.351872,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,2107619,3385021,0.182816,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,2372926,3402876,0.345047,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,2372926,3385021,0.174274,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,4135907,3402876,0.348452,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,4135907,3385021,0.180059,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,958192,3402876,0.351261,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,958192,3385021,0.194732,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,1219295,3402876,0.349415,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,1219295,3385021,0.183937,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,1940755,3402876,0.347824,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,1940755,3385021,0.159936,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,2056347,3402876,0.348621,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,2056347,3385021,0.169726,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,2823758,3402876,0.352384,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,2823758,3385021,0.167691,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,8893533,3402876,0.357157,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,8893533,3385021,0.174833,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,17814072,3402876,0.357457,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,17814072,3385021,0.172957,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,5910096,3402876,0.354294,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,5910096,3385021,0.166595,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,30958609,3402876,0.343771,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,30958609,3385021,0.17323,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,7742444,3402876,0.34202,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,7742444,3385021,0.181171,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,11500448,3402876,0.342027,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,11500448,3385021,0.175708,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,11900315,3402876,0.36205,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,11900315,3385021,0.177728,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,8411910,3402876,0.344208,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,8411910,3385021,0.186451,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,3841167,3402876,0.340881,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,3841167,3385021,0.167609,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,3993006,3402876,0.367767,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,3993006,3385021,0.179312,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,825608,3402876,0.364748,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,825608,3385021,0.173823,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,17273996,3402876,0.331876,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,17273996,3385021,0.173204,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,9351696,3402876,0.350733,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,9351696,3385021,0.169646,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,8409567,3402876,0.340416,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,8409567,3385021,0.187736,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,666254,3402876,0.354838,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,666254,3385021,0.184884,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,1429362,3402876,0.344555,
vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,N-be75eec_150,1429362,3385021,0.175633,
vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,N-be75eec_150,31815927,3402876,0.352792,
