instance,best_known_cost,sol_start,pivot,neighborhoods,cost,time_s,solution
N-be75eec_150,3482828,random,first,['transpose'],54581,7.9e-05,
N-be75eec_150,3482828,c_and_w,first,['transpose'],59083,5.7e-05,
N-be75eec_150,3482828,random,first,['exchange'],1320189,1.53734,
N-be75eec_150,3482828,c_and_w,first,['exchange'],775031,1.29478,
N-be75eec_150,3482828,random,first,['insert'],1247636,0.458337,
N-be75eec_150,3482828,c_and_w,first,['insert'],734904,0.700802,
N-be75eec_150,3482828,random,best,['transpose'],70782,0.000214,
N-be75eec_150,3482828,c_and_w,best,['transpose'],61902,0.000223,
N-be75eec_150,3482828,random,best,['exchange'],1293736,0.319719,
N-be75eec_150,3482828,c_and_w,best,['exchange'],748264,0.318781,
N-be75eec_150,3482828,random,best,['insert'],1270176,0.664054,
N-be75eec_150,3482828,c_and_w,best,['insert'],782962,0.560074,
N-be75np_150,7174325,random,first,['transpose'],76951,9.6e-05,
N-be75np_150,7174325,c_and_w,first,['transpose'],154305,0.000142,
N-be75np_150,7174325,random,first,['exchange'],2269581,1.52448,
N-be75np_150,7174325,c_and_w,first,['exchange'],1436857,1.4707,
N-be75np_150,7174325,random,first,['insert'],2163431,0.490392,
N-be75np_150,7174325,c_and_w,first,['insert'],1313329,0.439987,
N-be75np_150,7174325,random,best,['transpose'],75394,0.000178,
N-be75np_150,7174325,c_and_w,best,['transpose'],147990,0.00019,
N-be75np_150,7174325,random,best,['exchange'],2205274,0.324262,
N-be75np_150,7174325,c_and_w,best,['exchange'],1351667,0.300065,
N-be75np_150,7174325,random,best,['insert'],2211324,0.685117,
N-be75np_150,7174325,c_and_w,best,['insert'],1410950,0.592266,
N-be75oi_150,2246534,random,first,['transpose'],9379,4.8e-05,
N-be75oi_150,2246534,c_and_w,first,['transpose'],34267,5.3e-05,
N-be75oi_150,2246534,random,first,['exchange'],715906,1.82259,
N-be75oi_150,2246534,c_and_w,first,['exchange'],384915,1.40695,
N-be75oi_150,2246534,random,first,['insert'],684014,0.313836,
N-be75oi_150,2246534,c_and_w,first,['insert'],383490,0.437873,
N-be75oi_150,2246534,random,best,['transpose'],9378,0.000123,
N-be75oi_150,2246534,c_and_w,best,['transpose'],55191,0.00014,
N-be75oi_150,2246534,random,best,['exchange'],721503,0.403609,
N-be75oi_150,2246534,c_and_w,best,['exchange'],378196,0.379946,
N-be75oi_150,2246534,random,best,['insert'],723223,0.598062,
N-be75oi_150,2246534,c_and_w,best,['insert'],384491,0.54675,
N-be75tot_150,12287707,random,first,['transpose'],310842,0.000101,
N-be75tot_150,12287707,c_and_w,first,['transpose'],111211,0.000114,
N-be75tot_150,12287707,random,first,['exchange'],4313268,1.75155,
N-be75tot_150,12287707,c_and_w,first,['exchange'],2559187,1.8641,
N-be75tot_150,12287707,random,first,['insert'],4059531,0.67781,
N-be75tot_150,12287707,c_and_w,first,['insert'],2270024,0.530796,
N-be75tot_150,12287707,random,best,['transpose'],307925,0.00017,
N-be75tot_150,12287707,c_and_w,best,['transpose'],90654,0.000134,
N-be75tot_150,12287707,random,best,['exchange'],4219825,0.36548,
N-be75tot_150,12287707,c_and_w,best,['exchange'],2417419,0.300504,
N-be75tot_150,12287707,random,best,['insert'],4279412,0.653124,
N-be75tot_150,12287707,c_and_w,best,['insert'],2416721,0.533079,
N-stabu1_150,2875732,random,first,['transpose'],27729,7.8e-05,
N-stabu1_150,2875732,c_and_w,first,['transpose'],34473,8.5e-05,
N-stabu1_150,2875732,random,first,['exchange'],1000540,1.82903,
N-stabu1_150,2875732,c_and_w,first,['exchange'],554282,1.61202,
N-stabu1_150,2875732,random,first,['insert'],973148,0.652575,
N-stabu1_150,2875732,c_and_w,first,['insert'],512035,0.600407,
N-stabu1_150,2875732,random,best,['transpose'],48962,0.00024,
N-stabu1_150,2875732,c_and_w,best,['transpose'],32876,0.00017,
N-stabu1_150,2875732,random,best,['exchange'],969536,0.331875,
N-stabu1_150,2875732,c_and_w,best,['exchange'],542408,0.344682,
N-stabu1_150,2875732,random,best,['insert'],967403,0.669408,
N-stabu1_150,2875732,c_and_w,best,['insert'],547924,0.650052,
N-stabu2_150,4327538,random,first,['transpose'],244120,9.7e-05,
N-stabu2_150,4327538,c_and_w,first,['transpose'],54857,8.2e-05,
N-stabu2_150,4327538,random,first,['exchange'],1550449,2.08281,
N-stabu2_150,4327538,c_and_w,first,['exchange'],891861,1.53185,
N-stabu2_150,4327538,random,first,['insert'],1498183,0.620047,
