instance,best_known_cost,sol_start,pivot,neighborhoods,cost,time_s,solution
N-be75eec_150,3482828,c_and_w,first,"['transpose', 'exchange', 'insert']",797307,2.02907,
N-be75eec_150,3482828,c_and_w,first,"['transpose', 'insert', 'exchange']",786729,1.00445,
N-be75np_150,7174325,c_and_w,first,"['transpose', 'exchange', 'insert']",1468023,1.60484,
N-be75np_150,7174325,c_and_w,first,"['transpose', 'insert', 'exchange']",1314830,1.01419,
N-be75oi_150,2246534,c_and_w,first,"['transpose', 'exchange', 'insert']",408457,2.00518,
N-be75oi_150,2246534,c_and_w,first,"['transpose', 'insert', 'exchange']",387495,0.652068,
N-be75tot_150,12287707,c_and_w,first,"['transpose', 'exchange', 'insert']",2705417,1.70784,
N-be75tot_150,12287707,c_and_w,first,"['transpose', 'insert', 'exchange']",2334649,0.759119,
N-stabu1_150,2875732,c_and_w,first,"['transpose', 'exchange', 'insert']",591300,2.18301,
N-stabu1_150,2875732,c_and_w,first,"['transpose', 'insert', 'exchange']",535087,0.9699,
N-stabu2_150,4327538,c_and_w,first,"['transpose', 'exchange', 'insert']",888972,1.88189,
N-stabu2_150,4327538,c_and_w,first,"['transpose', 'insert', 'exchange']",832456,1.18909,
N-stabu3_150,4510445,c_and_w,first,"['transpose', 'exchange', 'insert']",947632,1.70849,
N-stabu3_150,4510445,c_and_w,first,"['transpose', 'insert', 'exchange']",901578,0.95009,
N-t59b11xx_150,3239550,c_and_w,first,"['transpose', 'exchange', 'insert']",729690,1.3381,
N-t59b11xx_150,3239550,c_and_w,first,"['transpose', 'insert', 'exchange']",690970,0.598402,
N-t59d11xx_150,1462697,c_and_w,first,"['transpose', 'exchange', 'insert']",342145,1.6212,
N-t59d11xx_150,1462697,c_and_w,first,"['transpose', 'insert', 'exchange']",326006,0.598071,
N-t59f11xx_150,1543733,c_and_w,first,"['transpose', 'exchange', 'insert']",332744,1.29812,
N-t59f11xx_150,1543733,c_and_w,first,"['transpose', 'insert', 'exchange']",314488,0.661604,
N-t59n11xx_150,318960,c_and_w,first,"['transpose', 'exchange', 'insert']",80694,1.75447,
N-t59n11xx_150,318960,c_and_w,first,"['transpose', 'insert', 'exchange']",72034,1.02868,
N-t65b11xx_150,6453836,c_and_w,first,"['transpose', 'exchange', 'insert']",1334982,1.73821,
N-t65b11xx_150,6453836,c_and_w,first,"['transpose', 'insert', 'exchange']",1254226,1.1036,
N-t65d11xx_150,3559347,c_and_w,first,"['transpose', 'exchange', 'insert']",734642,1.68899,
N-t65d11xx_150,3559347,c_and_w,first,"['transpose', 'insert', 'exchange']",683438,0.983628,
N-t65f11xx_150,3159326,c_and_w,first,"['transpose', 'exchange', 'insert']",729574,1.27056,
N-t65f11xx_150,3159326,c_and_w,first,"['transpose', 'insert', 'exchange']",672090,0.925874,
N-t65l11xx_150,253396,c_and_w,first,"['transpose', 'exchange', 'insert']",39595,1.3825,
N-t65l11xx_150,253396,c_and_w,first,"['transpose', 'insert', 'exchange']",39789,0.626731,
N-t65n11xx_150,550733,c_and_w,first,"['transpose', 'exchange', 'insert']",131201,1.77625,
N-t65n11xx_150,550733,c_and_w,first,"['transpose', 'insert', 'exchange']",128735,0.88958,
N-t69r11xx_150,11855957,c_and_w,first,"['transpose', 'exchange', 'insert']",2948358,1.6253,
N-t69r11xx_150,11855957,c_and_w,first,"['transpose', 'insert', 'exchange']",2859626,0.932701,
N-t70b11xx_150,9647229,c_and_w,first,"['transpose', 'exchange', 'insert']",2118019,2.04597,
N-t70b11xx_150,9647229,c_and_w,first,"['transpose', 'insert', 'exchange']",1985872,0.850523,
N-t70d11xn_150,5825147,c_and_w,first,"['transpose', 'exchange', 'insert']",1230950,1.85082,
N-t70d11xn_150,5825147,c_and_w,first,"['transpose', 'insert', 'exchange']",1076068,0.854711,
N-t70d11xx_150,6174178,c_and_w,first,"['transpose', 'exchange', 'insert']",1196148,1.94295,
N-t70d11xx_150,6174178,c_and_w,first,"['transpose', 'insert', 'exchange']",1101472,1.00139,
N-t70f11xx_150,5150097,c_and_w,first,"['transpose', 'exchange', 'insert']",1042469,1.60148,
N-t70f11xx_150,5150097,c_and_w,first,"['transpose', 'insert', 'exchange']",1027162,0.827787,
N-t70l11xx_150,436862,c_and_w,first,"['transpose', 'exchange', 'insert']",113160,1.58418,
N-t70l11xx_150,436862,c_and_w,first,"['transpose', 'insert', 'exchange']",114721,0.688856,
N-t70n11xx_150,948913,c_and_w,first,"['transpose', 'exchange', 'insert']",243963,2.02083,
N-t70n11xx_150,948913,c_and_w,first,"['transpose', 'insert', 'exchange']",231766,0.931522,
N-t74d11xx_150,9396044,c_and_w,first,"['transpose', 'exchange', 'insert']",1790659,1.98649,
N-t74d11xx_150,9396044,c_and_w,first,"['transpose', 'insert', 'exchange']",1743608,1.34003,
N-t75d11xx_150,9642140,c_and_w,first,"['transpose', 'exchange', 'insert']",1940764,1.75437,
N-t75d11xx_150,9642140,c_and_w,first,"['transpose', 'insert', 'exchange']",1839389,0.967734,
N-t75e11xx_150,41570193,c_and_w,first,"['transpose', 'exchange', 'insert']",9284557,2.31361,
N-t75e11xx_150,41570193,c_and_w,first,"['transpose', 'insert', 'exchange']",8355169,0.835815,
N-t75k11xx_150,1541596,c_and_w,first,"['transpose', 'exchange', 'insert']",391198,1.81633,
N-t75k11xx_150,1541596,c_and_w,first,"['transpose', 'insert', 'exchange']",380077,1.16249,
N-t75n11xx_150,1743094,c_and_w,first,"['transpose', 'exchange', 'insert']",413903,1.62995,
N-t75n11xx_150,1743094,c_and_w,first,"['transpose', 'insert', 'exchange']",406940,0.80717,
N-tiw56n54_150,837945,c_and_w,first,"['transpose', 'exchange', 'insert']",173703,1.61116,
N-tiw56n54_150,837945,c_and_w,first,"['transpose', 'insert', 'exchange']",164167,0.813606,
N-tiw56n58_150,1155392,c_and_w,first,"['transpose', 'exchange', 'insert']",228479,1.6874,
N-tiw56n58_150,1155392,c_and_w,first,"['transpose', 'insert', 'exchange']",210716,0.740306,
N-tiw56n62_150,1626921,c_and_w,first,"['transpose', 'exchange', 'insert']",337776,1.54354,
N-tiw56n62_150,1626921,c_and_w,first,"['transpose', 'insert', 'exchange']",314761,0.91725,
N-tiw56n66_150,2107619,c_and_w,first,"['transpose', 'exchange', 'insert']",448096,1.97385,
N-tiw56n66_150,2107619,c_and_w,first,"['transpose', 'insert', 'exchange']",429586,1.16584,
N-tiw56n67_150,2372926,c_and_w,first,"['transpose', 'exchange', 'insert']",535107,1.94769,
N-tiw56n67_150,2372926,c_and_w,first,"['transpose', 'insert', 'exchange']",495985,0.913103,
N-tiw56n72_150,4135907,c_and_w,first,"['transpose', 'exchange', 'insert']",946536,1.9316,
N-tiw56n72_150,4135907,c_and_w,first,"['transpose', 'insert', 'exchange']",898664,0.852606,
N-tiw56r54_150,958192,c_and_w,first,"['transpose', 'exchange', 'insert']",202843,1.66566,
N-tiw56r54_150,958192,c_and_w,first,"['transpose', 'insert', 'exchange']",203751,0.900679,
N-tiw56r58_150,1219295,c_and_w,first,"['transpose', 'exchange', 'insert']",242284,1.57098,
N-tiw56r58_150,1219295,c_and_w,first,"['transpose', 'insert', 'exchange']",247976,1.08382,
N-tiw56r66_150,1940755,c_and_w,first,"['transpose', 'exchange', 'insert']",385546,1.72689,
N-tiw56r66_150,1940755,c_and_w,first,"['transpose', 'insert', 'exchange']",352595,0.717427,
N-tiw56r67_150,2056347,c_and_w,first,"['transpose', 'exchange', 'insert']",388755,1.73825,
N-tiw56r67_150,2056347,c_and_w,first,"['transpose', 'insert', 'exchange']",369738,0.773391,
N-tiw56r72_150,2823758,c_and_w,first,"['transpose', 'exchange', 'insert']",688162,2.08844,
N-tiw56r72_150,2823758,c_and_w,first,"['transpose', 'insert', 'exchange']",620331,0.744057,
N-be75eec_250,8893533,c_and_w,first,"['transpose', 'exchange', 'insert']",1805092,24.1165,
N-be75eec_250,8893533,c_and_w,first,"['transpose', 'insert', 'exchange']",1638052,9.67034,
N-be75np_250,17814072,c_and_w,first,"['transpose', 'exchange', 'insert']",3403005,22.9489,
N-be75np_250,17814072,c_and_w,first,"['transpose', 'insert', 'exchange']",3120278,9.70318,
N-be75oi_250,5910096,c_and_w,first,"['transpose', 'exchange', 'insert']",1020015,28.9632,
N-be75oi_250,5910096,c_and_w,first,"['transpose', 'insert', 'exchange']",978972,11.8848,
N-be75tot_250,30958609,c_and_w,first,"['transpose', 'exchange', 'insert']",5926843,26.7356,
N-be75tot_250,30958609,c_and_w,first,"['transpose', 'insert', 'exchange']",5610850,12.067,
N-stabu1_250,7742444,c_and_w,first,"['transpose', 'exchange', 'insert']",1460167,24.8866,
N-stabu1_250,7742444,c_and_w,first,"['transpose', 'insert', 'exchange']",1350144,11.8926,
N-stabu2_250,11500448,c_and_w,first,"['transpose', 'exchange', 'insert']",2246682,25.4709,
N-stabu2_250,11500448,c_and_w,first,"['transpose', 'insert', 'exchange']",2161681,13.2599,
N-stabu3_250,11900315,c_and_w,first,"['transpose', 'exchange', 'insert']",2460866,28.166,
N-stabu3_250,11900315,c_and_w,first,"['transpose', 'insert', 'exchange']",2220727,9.56872,
N-t59b11xx_250,8411910,c_and_w,first,"['transpose', 'exchange', 'insert']",1525915,19.2574,
N-t59b11xx_250,8411910,c_and_w,first,"['transpose', 'insert', 'exchange']",1463325,8.53355,
N-t59d11xx_250,3841167,c_and_w,first,"['transpose', 'exchange', 'insert']",684911,19.1484,
N-t59d11xx_250,3841167,c_and_w,first,"['transpose', 'insert', 'exchange']",623593,8.45802,
N-t59f11xx_250,3993006,c_and_w,first,"['transpose', 'exchange', 'insert']",830722,17.6468,
N-t59f11xx_250,3993006,c_and_w,first,"['transpose', 'insert', 'exchange']",813779,8.7052,
N-t59n11xx_250,825608,c_and_w,first,"['transpose', 'exchange', 'insert']",170557,20.7234,
N-t59n11xx_250,825608,c_and_w,first,"['transpose', 'insert', 'exchange']",157509,8.87823,
N-t65b11xx_250,17273996,c_and_w,first,"['transpose', 'exchange', 'insert']",3294042,24.9811,
N-t65b11xx_250,17273996,c_and_w,first,"['transpose', 'insert', 'exchange']",2990620,10.2609,
N-t65d11xx_250,9351696,c_and_w,first,"['transpose', 'exchange', 'insert']",1755534,23.057,
N-t65d11xx_250,9351696,c_and_w,first,"['transpose', 'insert', 'exchange']",1698708,11.0055,
