instance,best_known_cost,sol_start,pivot,neighborhoods,cost,time_s,solution
N-be75eec_150,3482828,random,first,['transpose'],54581,0.002648,
N-be75eec_150,3482828,c_and_w,first,['transpose'],59319,0.003894,
N-be75eec_150,3482828,random,first,['exchange'],1320189,2.51937,
N-be75eec_150,3482828,c_and_w,first,['exchange'],777059,2.07647,
N-be75eec_150,3482828,random,first,['insert'],1247636,1.43929,
N-be75eec_150,3482828,c_and_w,first,['insert'],735140,1.94718,
N-be75eec_150,3482828,random,best,['transpose'],70782,0.005417,
N-be75eec_150,3482828,c_and_w,best,['transpose'],62138,0.005528,
N-be75eec_150,3482828,random,best,['exchange'],1293736,0.48758,
N-be75eec_150,3482828,c_and_w,best,['exchange'],748252,0.50975,
N-be75eec_150,3482828,random,best,['insert'],1270176,2.03428,
N-be75eec_150,3482828,c_and_w,best,['insert'],782929,1.74583,
N-be75np_150,7174325,random,first,['transpose'],76951,0.00494,
N-be75np_150,7174325,c_and_w,first,['transpose'],154305,0.005362,
N-be75np_150,7174325,random,first,['exchange'],2269581,2.56155,
N-be75np_150,7174325,c_and_w,first,['exchange'],1437328,1.77962,
N-be75np_150,7174325,random,first,['insert'],2163431,1.53792,
N-be75np_150,7174325,c_and_w,first,['insert'],1313066,1.43978,
N-be75np_150,7174325,random,best,['transpose'],75394,0.003917,
N-be75np_150,7174325,c_and_w,best,['transpose'],147990,0.004408,
N-be75np_150,7174325,random,best,['exchange'],2205274,0.436238,
N-be75np_150,7174325,c_and_w,best,['exchange'],1351496,0.414496,
N-be75np_150,7174325,random,best,['insert'],2211324,2.15911,
N-be75np_150,7174325,c_and_w,best,['insert'],1410687,1.93359,
N-be75oi_150,2246534,random,first,['transpose'],9379,0.002115,
N-be75oi_150,2246534,c_and_w,first,['transpose'],34141,0.002372,
N-be75oi_150,2246534,random,first,['exchange'],715906,2.35721,
N-be75oi_150,2246534,c_and_w,first,['exchange'],391223,2.33545,
N-be75oi_150,2246534,random,first,['insert'],684014,0.920254,
N-be75oi_150,2246534,c_and_w,first,['insert'],383364,1.60941,
N-be75oi_150,2246534,random,best,['transpose'],9378,0.003805,
N-be75oi_150,2246534,c_and_w,best,['transpose'],55065,0.004405,
N-be75oi_150,2246534,random,best,['exchange'],721503,0.757894,
N-be75oi_150,2246534,c_and_w,best,['exchange'],376535,0.303009,
N-be75oi_150,2246534,random,best,['insert'],723223,2.04821,
