instance,best_known_cost,sol_start,pivot,neighborhoods,cost,time_s,solution
N-be75eec_150,3482828,c_and_w,first,"['transpose', 'exchange', 'insert']",797543,3.27947,
N-be75eec_150,3482828,c_and_w,first,"['transpose', 'insert', 'exchange']",786965,2.72488,
N-be75np_150,7174325,c_and_w,first,"['transpose', 'exchange', 'insert']",1475985,3.17836,
N-be75np_150,7174325,c_and_w,first,"['transpose', 'insert', 'exchange']",1314567,3.21095,
N-be75oi_150,2246534,c_and_w,first,"['transpose', 'exchange', 'insert']",408331,2.58055,
N-be75oi_150,2246534,c_and_w,first,"['transpose', 'insert', 'exchange']",387369,2.22398,
N-be75tot_150,12287707,c_and_w,first,"['transpose', 'exchange', 'insert']",2703850,3.24294,
N-be75tot_150,12287707,c_and_w,first,"['transpose', 'insert', 'exchange']",2334649,2.32398,
N-stabu1_150,2875732,c_and_w,first,"['transpose', 'exchange', 'insert']",591291,3.37651,
N-stabu1_150,2875732,c_and_w,first,"['transpose', 'insert', 'exchange']",535078,2.80737,
N-stabu2_150,4327538,c_and_w,first,"['transpose', 'exchange', 'insert']",888972,3.14379,
N-stabu2_150,4327538,c_and_w,first,"['transpose', 'insert', 'exchange']",832456,3.50926,
N-stabu3_150,4510445,c_and_w,first,"['transpose', 'exchange', 'insert']",947618,2.66881,
N-stabu3_150,4510445,c_and_w,first,"['transpose', 'insert', 'exchange']",901564,2.86204,
N-t59b11xx_150,3239550,c_and_w,first,"['transpose', 'exchange', 'insert']",738120,2.30893,
N-t59b11xx_150,3239550,c_and_w,first,"['transpose', 'insert', 'exchange']",690960,1.62039,
N-t59d11xx_150,1462697,c_and_w,first,"['transpose', 'exchange', 'insert']",336319,2.53298,
N-t59d11xx_150,1462697,c_and_w,first,"['transpose', 'insert', 'exchange']",324759,1.65424,
N-t59f11xx_150,1543733,c_and_w,first,"['transpose', 'exchange', 'insert']",330738,2.30079,
N-t59f11xx_150,1543733,c_and_w,first,"['transpose', 'insert', 'exchange']",323925,2.33321,
N-t59n11xx_150,318960,c_and_w,first,"['transpose', 'exchange', 'insert']",80726,2.63313,
N-t59n11xx_150,318960,c_and_w,first,"['transpose', 'insert', 'exchange']",72066,3.28647,
N-t65b11xx_150,6453836,c_and_w,first,"['transpose', 'exchange', 'insert']",1338144,3.72483,
N-t65b11xx_150,6453836,c_and_w,first,"['transpose', 'insert', 'exchange']",1254962,3.00543,
N-t65d11xx_150,3559347,c_and_w,first,"['transpose', 'exchange', 'insert']",734642,3.00667,
N-t65d11xx_150,3559347,c_and_w,first,"['transpose', 'insert', 'exchange']",683438,2.56907,
N-t65f11xx_150,3159326,c_and_w,first,"['transpose', 'exchange', 'insert']",729523,2.31113,
N-t65f11xx_150,3159326,c_and_w,first,"['transpose', 'insert', 'exchange']",672039,2.68325,
N-t65l11xx_150,253396,c_and_w,first,"['transpose', 'exchange', 'insert']",40747,2.58347,
N-t65l11xx_150,253396,c_and_w,first,"['transpose', 'insert', 'exchange']",39977,1.64217,
N-t65n11xx_150,550733,c_and_w,first,"['transpose', 'exchange', 'insert']",130783,2.87151,
N-t65n11xx_150,550733,c_and_w,first,"['transpose', 'insert', 'exchange']",128717,2.69119,
N-t69r11xx_150,11855957,c_and_w,first,"['transpose', 'exchange', 'insert']",2910005,2.99781,
N-t69r11xx_150,11855957,c_and_w,first,"['transpose', 'insert', 'exchange']",2894709,2.06482,
N-t70b11xx_150,9647229,c_and_w,first,"['transpose', 'exchange', 'insert']",2125984,3.46663,
N-t70b11xx_150,9647229,c_and_w,first,"['transpose', 'insert', 'exchange']",1985787,2.58093,
N-t70d11xn_150,5825147,c_and_w,first,"['transpose', 'exchange', 'insert']",1234078,2.76999,
N-t70d11xn_150,5825147,c_and_w,first,"['transpose', 'insert', 'exchange']",1076579,2.72837,
N-t70d11xx_150,6174178,c_and_w,first,"['transpose', 'exchange', 'insert']",1196963,3.10003,
N-t70d11xx_150,6174178,c_and_w,first,"['transpose', 'insert', 'exchange']",1102287,2.92089,
N-t70f11xx_150,5150097,c_and_w,first,"['transpose', 'exchange', 'insert']",1042475,2.89847,
N-t70f11xx_150,5150097,c_and_w,first,"['transpose', 'insert', 'exchange']",1027168,2.79958,
N-t70l11xx_150,436862,c_and_w,first,"['transpose', 'exchange', 'insert']",119118,3.74483,
N-t70l11xx_150,436862,c_and_w,first,"['transpose', 'insert', 'exchange']",114708,1.80638,
N-t70n11xx_150,948913,c_and_w,first,"['transpose', 'exchange', 'insert']",243963,2.80528,
N-t70n11xx_150,948913,c_and_w,first,"['transpose', 'insert', 'exchange']",231766,2.93769,
N-t74d11xx_150,9396044,c_and_w,first,"['transpose', 'exchange', 'insert']",1790659,3.42821,
N-t74d11xx_150,9396044,c_and_w,first,"['transpose', 'insert', 'exchange']",1743608,4.44259,
N-t75d11xx_150,9642140,c_and_w,first,"['transpose', 'exchange', 'insert']",1940802,3.06652,
N-t75d11xx_150,9642140,c_and_w,first,"['transpose', 'insert', 'exchange']",1839427,3.59869,
N-t75e11xx_150,41570193,c_and_w,first,"['transpose', 'exchange', 'insert']",9280662,3.89537,
N-t75e11xx_150,41570193,c_and_w,first,"['transpose', 'insert', 'exchange']",8351274,2.28838,
N-t75k11xx_150,1541596,c_and_w,first,"['transpose', 'exchange', 'insert']",395523,3.49223,
N-t75k11xx_150,1541596,c_and_w,first,"['transpose', 'insert', 'exchange']",379597,3.26951,
N-t75n11xx_150,1743094,c_and_w,first,"['transpose', 'exchange', 'insert']",413903,2.94193,
N-t75n11xx_150,1743094,c_and_w,first,"['transpose', 'insert', 'exchange']",406940,2.52065,
N-tiw56n54_150,837945,c_and_w,first,"['transpose', 'exchange', 'insert']",173534,2.59651,
N-tiw56n54_150,837945,c_and_w,first,"['transpose', 'insert', 'exchange']",171414,2.3509,
N-tiw56n58_150,1155392,c_and_w,first,"['transpose', 'exchange', 'insert']",228529,2.86175,
N-tiw56n58_150,1155392,c_and_w,first,"['transpose', 'insert', 'exchange']",210766,2.15136,
N-tiw56n62_150,1626921,c_and_w,first,"['transpose', 'exchange', 'insert']",327914,2.87994,
N-tiw56n62_150,1626921,c_and_w,first,"['transpose', 'insert', 'exchange']",314739,1.89936,
