instance,best_known_cost,cost,elapsed_seconds,algo,pivot,neighborhood,sol_start,ils_perturb_rate,ils_n_try,ils_worst,solution
N-be75eec_150,3482828,3434940,19.278,ils,first,['exchange'],c_and_w,0.2,10,0,
N-be75eec_150,3482828,3434940,20.5019,ils,first,['exchange'],c_and_w,0.2,10,10,
N-be75eec_150,3482828,3441295,236.446,ils,first,['exchange'],c_and_w,0.2,100,0,
N-be75eec_150,3482828,3441295,227.514,ils,first,['exchange'],c_and_w,0.2,100,10,
N-be75eec_150,3482828,3425154,28.0484,ils,first,['exchange'],c_and_w,0.5,10,0,
N-be75eec_150,3482828,3425154,21.0255,ils,first,['exchange'],c_and_w,0.5,10,10,
N-be75eec_150,3482828,3438719,318.433,ils,first,['exchange'],c_and_w,0.5,100,0,
N-be75eec_150,3482828,3438719,313.762,ils,first,['exchange'],c_and_w,0.5,100,10,
N-be75eec_150,3482828,3429251,38.0806,ils,first,['exchange'],c_and_w,0.8,10,0,
N-be75eec_150,3482828,3429251,36.7546,ils,first,['exchange'],c_and_w,0.8,10,10,
N-be75eec_150,3482828,3445714,368.375,ils,first,['exchange'],c_and_w,0.8,100,0,
N-be75eec_150,3482828,3445714,369.309,ils,first,['exchange'],c_and_w,0.8,100,10,
N-be75eec_150,3482828,3424570,17.0168,ils,first,['exchange'],random,0.2,10,0,
N-be75eec_150,3482828,3424570,17.7482,ils,first,['exchange'],random,0.2,10,10,
N-be75eec_150,3482828,3424570,117.331,ils,first,['exchange'],random,0.2,100,0,
N-be75eec_150,3482828,3424570,121.375,ils,first,['exchange'],random,0.2,100,10,
N-be75eec_150,3482828,3428477,37.135,ils,first,['exchange'],random,0.5,10,0,
N-be75eec_150,3482828,3428477,37.3846,ils,first,['exchange'],random,0.5,10,10,
N-be75eec_150,3482828,3435936,385.765,ils,first,['exchange'],random,0.5,100,0,
N-be75eec_150,3482828,3435936,390.672,ils,first,['exchange'],random,0.5,100,10,
N-be75eec_150,3482828,3412946,32.9772,ils,first,['exchange'],random,0.8,10,0,
N-be75eec_150,3482828,3412946,34.7046,ils,first,['exchange'],random,0.8,10,10,
N-be75eec_150,3482828,3439976,473.487,ils,first,['exchange'],random,0.8,100,0,
N-be75eec_150,3482828,3439976,466.875,ils,first,['exchange'],random,0.8,100,10,
N-be75eec_150,3482828,3437569,25.8626,ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,10,0,
N-be75eec_150,3482828,3437569,25.5314,ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,10,10,
N-be75eec_150,3482828,3460227,405.163,ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,0,
N-be75eec_150,3482828,3460227,419.291,ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.2,100,10,
N-be75eec_150,3482828,3440792,42.328,ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.5,10,0,
N-be75eec_150,3482828,3440792,43.7442,ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.5,10,10,
N-be75eec_150,3482828,3452703,222.891,ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.5,100,0,
N-be75eec_150,3482828,3452703,218.086,ils,first,"['transpose', 'exchange', 'insert']",c_and_w,0.5,100,10,
