instance,best_known_cost,cost,elapsed_seconds,algo,pivot,neighborhood,sol_start,ils_perturb_rate,ils_n_try,ils_worst,solution
N-be75eec_150,3482828,3397099,2.08432,ils,first,['exchange'],random,0,0,0,
N-be75eec_150,3482828,3397099,2.14741,ils,first,['exchange'],random,0,0,100,
N-be75eec_150,3482828,3397099,2.21933,ils,first,['exchange'],random,0,0,1000,
N-be75eec_150,3482828,3397099,2.10582,ils,first,['exchange'],random,0,0,10000,
N-be75eec_150,3482828,3397099,2.21274,ils,first,['exchange'],random,0,1,0,
N-be75eec_150,3482828,3397099,2.22505,ils,first,['exchange'],random,0,1,100,
N-be75eec_150,3482828,3397099,2.20174,ils,first,['exchange'],random,0,1,1000,
N-be75eec_150,3482828,3397099,2.23671,ils,first,['exchange'],random,0,1,10000,
N-be75eec_150,3482828,3397099,2.26867,ils,first,['exchange'],random,0,10,0,
N-be75eec_150,3482828,3397099,2.22911,ils,first,['exchange'],random,0,10,100,
N-be75eec_150,3482828,3397099,2.20672,ils,first,['exchange'],random,0,10,1000,
N-be75eec_150,3482828,3397099,2.20887,ils,first,['exchange'],random,0,10,10000,
N-be75eec_150,3482828,3397099,2.5349,ils,first,['exchange'],random,0,100,0,
N-be75eec_150,3482828,3397099,2.40207,ils,first,['exchange'],random,0,100,100,
N-be75eec_150,3482828,3397099,2.45016,ils,first,['exchange'],random,0,100,1000,
N-be75eec_150,3482828,3397099,2.35339,ils,first,['exchange'],random,0,100,10000,
N-be75eec_150,3482828,3397099,1.97755,ils,first,['exchange'],random,0.1,0,0,
N-be75eec_150,3482828,3397099,1.90763,ils,first,['exchange'],random,0.1,0,100,
N-be75eec_150,3482828,3397099,2.05314,ils,first,['exchange'],random,0.1,0,1000,
N-be75eec_150,3482828,3397099,2.28845,ils,first,['exchange'],random,0.1,0,10000,
N-be75eec_150,3482828,3397099,3.16628,ils,first,['exchange'],random,0.1,1,0,
N-be75eec_150,3482828,3397099,3.27712,ils,first,['exchange'],random,0.1,1,100,
N-be75eec_150,3482828,3397099,3.16564,ils,first,['exchange'],random,0.1,1,1000,
N-be75eec_150,3482828,3397099,3.21407,ils,first,['exchange'],random,0.1,1,10000,
N-be75eec_150,3482828,3397099,11.0077,ils,first,['exchange'],random,0.1,10,0,
N-be75eec_150,3482828,3397099,11.0604,ils,first,['exchange'],random,0.1,10,100,
N-be75eec_150,3482828,3397099,10.784,ils,first,['exchange'],random,0.1,10,1000,
N-be75eec_150,3482828,3397099,10.7899,ils,first,['exchange'],random,0.1,10,10000,
