instance,best_known_cost,cost,elapsed_seconds,algo,pivot,neighborhood,sol_start,solution
N-be75eec_150,3482828,2131491,0.000108,vnd,first,['transpose'],random,
N-be75eec_150,3482828,2657375,9.3e-05,vnd,first,['transpose'],c_and_w,
N-be75eec_150,3482828,3397099,1.46953,vnd,first,['exchange'],random,
N-be75eec_150,3482828,3375115,1.12217,vnd,first,['exchange'],c_and_w,
N-be75eec_150,3482828,3324546,0.454306,vnd,first,['insert'],random,
N-be75eec_150,3482828,3333196,0.605484,vnd,first,['insert'],c_and_w,
N-be75eec_150,3482828,2147692,0.000155,vnd,best,['transpose'],random,
N-be75eec_150,3482828,2660194,0.000164,vnd,best,['transpose'],c_and_w,
N-be75eec_150,3482828,3370646,0.266853,vnd,best,['exchange'],random,
N-be75eec_150,3482828,3346308,0.217931,vnd,best,['exchange'],c_and_w,
N-be75eec_150,3482828,3347086,0.563518,vnd,best,['insert'],random,
N-be75eec_150,3482828,3380985,0.454023,vnd,best,['insert'],c_and_w,
N-be75np_150,7174325,4809500,7.3e-05,vnd,first,['transpose'],random,
N-be75np_150,7174325,5721168,8.7e-05,vnd,first,['transpose'],c_and_w,
N-be75np_150,7174325,7002130,1.4849,vnd,first,['exchange'],random,
N-be75np_150,7174325,7004191,1.15971,vnd,first,['exchange'],c_and_w,
N-be75np_150,7174325,6895980,0.414498,vnd,first,['insert'],random,
N-be75np_150,7174325,6879929,0.272635,vnd,first,['insert'],c_and_w,
N-be75np_150,7174325,4807943,0.000202,vnd,best,['transpose'],random,
N-be75np_150,7174325,5714853,0.000204,vnd,best,['transpose'],c_and_w,
N-be75np_150,7174325,6937823,0.304018,vnd,best,['exchange'],random,
N-be75np_150,7174325,6918359,0.156733,vnd,best,['exchange'],c_and_w,
N-be75np_150,7174325,6943873,0.61608,vnd,best,['insert'],random,
N-be75np_150,7174325,6977550,0.519912,vnd,best,['insert'],c_and_w,
N-be75oi_150,2246534,1494458,3.8e-05,vnd,first,['transpose'],random,
