instance,best_known_cost,cost,elapsed_seconds,algo,pivot,neighborhood,sol_start,solution
N-be75eec_150,3482828,3395599,1.77574,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-be75eec_150,3482828,3385021,0.825516,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-be75np_150,7174325,7042848,1.84935,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-be75np_150,7174325,6881430,1.00903,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-be75oi_150,2246534,2225151,2.02965,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-be75oi_150,2246534,2204189,0.705339,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-be75tot_150,12287707,12069275,1.84047,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-be75tot_150,12287707,11700074,0.694265,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-stabu1_150,2875732,2825872,2.06151,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-stabu1_150,2875732,2769659,0.982712,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-stabu2_150,4327538,4250500,1.84603,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-stabu2_150,4327538,4193984,1.14322,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-stabu3_150,4510445,4439151,1.88403,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-stabu3_150,4510445,4393097,0.954434,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t59b11xx_150,3239550,3155495,1.43527,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t59b11xx_150,3239550,3108335,0.611165,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t59d11xx_150,1462697,1426178,1.65446,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t59d11xx_150,1462697,1414618,0.627149,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t59f11xx_150,1543733,1509547,1.35162,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t59f11xx_150,1543733,1502734,0.900155,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t59n11xx_150,318960,314170,1.79094,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t59n11xx_150,318960,305510,1.10728,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t65b11xx_150,6453836,6321707,1.98167,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t65b11xx_150,6453836,6238525,1.08556,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t65d11xx_150,3559347,3475070,1.59738,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t65d11xx_150,3559347,3423866,0.790625,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t65f11xx_150,3159326,3088023,1.18322,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t65f11xx_150,3159326,3030539,0.82219,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t65l11xx_150,253396,248976,1.2234,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t65l11xx_150,253396,248206,0.542463,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t65n11xx_150,550733,535018,1.58741,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t65n11xx_150,550733,532952,0.643813,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t69r11xx_150,11855957,11458410,1.71565,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
N-t69r11xx_150,11855957,11443114,0.674766,vnd,first,"['transpose', 'insert', 'exchange']",c_and_w,
N-t70b11xx_150,9647229,9454250,2.27551,vnd,first,"['transpose', 'exchange', 'insert']",c_and_w,
