instance,best_known_cost,cost,elapsed_seconds,algo,pivot,neighborhood,meme_divers_try,meme_mean_try,meme_cross_rate_mut,meme_offspring,meme_pop,meme_mut_rate,meme_cross_rate,solution
N-be75eec_150,3482828,3466308,2199.74,memetic,first,['exchange'],2,5,0,10,20,0.1,0.5,
N-be75eec_150,3482828,3445505,2699.65,memetic,first,['exchange'],2,5,0,10,20,0.3,0.5,
N-be75eec_150,3482828,3464636,3144.88,memetic,first,['exchange'],2,5,0.5,10,20,0.1,0.5,
N-be75eec_150,3482828,3464993,4541.4,memetic,first,['exchange'],2,5,0.5,10,20,0.3,0.5,
N-be75eec_150,3482828,3463159,2940.59,memetic,first,['exchange'],2,5,0.8,10,20,0.1,0.5,
N-be75eec_150,3482828,3473563,7026.86,memetic,first,['exchange'],2,5,0.8,10,20,0.3,0.5,
N-be75eec_150,3482828,3463469,3517.71,memetic,first,['exchange'],2,5,1,10,20,0.1,0.5,
N-be75eec_150,3482828,3463469,3598.08,memetic,first,['exchange'],2,5,1,10,20,0.3,0.5,
N-be75eec_150,3482828,3468093,2722.71,memetic,first,"['transpose', 'exchange', 'insert']",2,5,0,10,20,0.1,0.5,
N-be75eec_150,3482828,3460111,4064.31,memetic,first,"['transpose', 'exchange', 'insert']",2,5,0,10,20,0.3,0.5,
N-be75eec_150,3482828,3475465,4932.6,memetic,first,"['transpose', 'exchange', 'insert']",2,5,0.5,10,20,0.1,0.5,
N-be75eec_150,3482828,3471289,7472.27,memetic,first,"['transpose', 'exchange', 'insert']",2,5,0.5,10,20,0.3,0.5,
N-be75eec_150,3482828,3471886,2857.08,memetic,first,"['transpose', 'exchange', 'insert']",2,5,0.8,10,20,0.1,0.5,
N-be75eec_150,3482828,3475965,2938.74,memetic,first,"['transpose', 'exchange', 'insert']",2,5,0.8,10,20,0.3,0.5,
N-be75eec_150,3482828,3476279,2502.42,memetic,first,"['transpose', 'exchange', 'insert']",2,5,1,10,20,0.1,0.5,
N-be75eec_150,3482828,3476279,2497.8,memetic,first,"['transpose', 'exchange', 'insert']",2,5,1,10,20,0.3,0.5,
N-be75eec_150,3482828,3459728,1118.96,memetic,best,['exchange'],2,5,0,10,20,0.1,0.5,
N-be75eec_150,3482828,3460032,1543.83,memetic,best,['exchange'],2,5,0,10,20,0.3,0.5,
N-be75eec_150,3482828,3464125,268.383,memetic,best,['exchange'],2,5,0.5,10,20,0.1,0.5,
N-be75eec_150,3482828,3465442,1008.11,memetic,best,['exchange'],2,5,0.5,10,20,0.3,0.5,
N-be75eec_150,3482828,3460039,397.782,memetic,best,['exchange'],2,5,0.8,10,20,0.1,0.5,
N-be75eec_150,3482828,3461706,500.314,memetic,best,['exchange'],2,5,0.8,10,20,0.3,0.5,
N-be75eec_150,3482828,3463587,482.35,memetic,best,['exchange'],2,5,1,10,20,0.1,0.5,
N-be75eec_150,3482828,3463587,477.305,memetic,best,['exchange'],2,5,1,10,20,0.3,0.5,
N-be75eec_150,3482828,3459765,1081.74,memetic,best,"['transpose', 'exchange', 'insert']",2,5,0,10,20,0.1,0.5,
N-be75eec_150,3482828,3462307,761.857,memetic,best,"['transpose', 'exchange', 'insert']",2,5,0,10,20,0.3,0.5,
N-be75eec_150,3482828,3468430,675.689,memetic,best,"['transpose', 'exchange', 'insert']",2,5,0.5,10,20,0.1,0.5,
N-be75eec_150,3482828,3474280,973.393,memetic,best,"['transpose', 'exchange', 'insert']",2,5,0.5,10,20,0.3,0.5,
N-be75eec_150,3482828,3479240,522.336,memetic,best,"['transpose', 'exchange', 'insert']",2,5,0.8,10,20,0.1,0.5,
N-be75eec_150,3482828,3468740,381.234,memetic,best,"['transpose', 'exchange', 'insert']",2,5,0.8,10,20,0.3,0.5,
N-be75eec_150,3482828,3462140,238.582,memetic,best,"['transpose', 'exchange', 'insert']",2,5,1,10,20,0.1,0.5,
N-be75eec_150,3482828,3462140,229.781,memetic,best,"['transpose', 'exchange', 'insert']",2,5,1,10,20,0.3,0.5,
